Id,B_Age,B_Height,B_Weight,B_Name,R_Age,R_Height,R_Weight,R_Name,winby,winner
451,36.0,182.0,77.0,Alan Jouban,27.0,180.0,77.0,Warlley Alves,DEC,red
452,37.0,190.0,84.0,Trevor Smith,30.0,185.0,84.0,Caio Magalhaes,KO/TKO,red
453,38.0,172.0,77.0,Jorge de Oliveira,29.0,187.0,77.0,Dhiego Lima,DEC,red
454,30.0,180.0,77.0,Colby Covington,31.0,182.0,77.0,Wagner Silva,SUB,blue
455,32.0,165.0,52.0,Nina Ansaroff,36.0,165.0,52.0,Juliana Lima,DEC,red
456,27.0,182.0,77.0,Leon Edwards,36.0,180.0,77.0,Claudio Silva,DEC,red
457,31.0,165.0,65.0,Rodolfo Rubio,26.0,172.0,65.0,Diego Rivas,DEC,red
458,39.0,185.0,84.0,Michael Bisping,33.0,190.0,84.0,Luke Rockhold,SUB,red
459,31.0,187.0,93.0,Clint Hester,27.0,182.0,84.0,Robert Whittaker,KO/TKO,red
460,35.0,195.0,113.0,Walt Harris,41.0,193.0,120.0,Soa Palelei,KO/TKO,red
461,36.0,177.0,70.0,Vagner Rocha,24.0,180.0,77.0,Jake Matthews,SUB,red
462,32.0,190.0,93.0,Guto Inocente,46.0,190.0,93.0,Anthony Perosh,SUB,red
463,32.0,187.0,93.0,Sam Alvey,38.0,185.0,84.0,Dylan Andrews,KO/TKO,blue
464,42.0,177.0,77.0,Chris Clements,41.0,180.0,77.0,Vik Grujic,KO/TKO,blue
465,40.0,182.0,84.0,Daniel Kelly,36.0,187.0,84.0,Luke Zachrich,SUB,blue
466,33.0,162.0,61.0,Marcus Brimage,32.0,170.0,61.0,Jumabieke Tuerxun,KO/TKO,blue
467,27.0,175.0,56.0,Louis Smolka,35.0,167.0,56.0,Richie Vaculik,KO/TKO,blue
468,31.0,175.0,70.0,Al Iaquinta,34.0,172.0,70.0,Ross Pearson,KO/TKO,blue
469,29.0,172.0,70.0,Drew Dober,33.0,172.0,70.0,Jamie Varner,SUB,blue
470,30.0,213.0,120.0,Stefan Struve,38.0,193.0,120.0,Alistair Overeem,KO/TKO,red
471,36.0,193.0,109.0,Stipe Miocic,34.0,193.0,108.0,Junior Dos Santos,DEC,red
472,33.0,182.0,77.0,Nate Diaz,33.0,172.0,77.0,Rafael dos Anjos,DEC,red
473,29.0,182.0,77.0,Bryan Barberena,33.0,175.0,70.0,Joe Ellenberger,KO/TKO,blue
474,31.0,172.0,56.0,Willie Gates,34.0,167.0,56.0,John Moraga,SUB,red
475,35.0,187.0,77.0,Ben Saunders,36.0,182.0,84.0,Joe Riggs,SUB,blue
476,31.0,165.0,61.0,Ian Entwistle,32.0,172.0,61.0,Anthony Birchak,SUB,blue
